
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function tanh at 0x7fbe3199fe20>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.08333715454446043
Training loss:  0.9569921953291735  Training accuracy:  0.694962962962963
Validation loss:  0.9553919287282674  Validation accuracy:  0.7026666666666667
Testing loss:  0.97057649872336  Testing accuracy:  0.6837
Epoch  1 Epoch Loss :  0.05398482192939315
Training loss:  0.7959838693791154  Training accuracy:  0.7447407407407407
Validation loss:  0.7933927978748674  Validation accuracy:  0.752
Testing loss:  0.8129904401820287  Testing accuracy:  0.733
Epoch  2 Epoch Loss :  0.04759047837591606
Training loss:  0.731158615668944  Training accuracy:  0.767
Validation loss:  0.7279877474730627  Validation accuracy:  0.7718333333333334
Testing loss:  0.7494345333135962  Testing accuracy:  0.7547
Epoch  3 Epoch Loss :  0.044626911044578006
Training loss:  0.6970195510774653  Training accuracy:  0.7800555555555555
Validation loss:  0.6936429862928319  Validation accuracy:  0.785
Testing loss:  0.7160629377886122  Testing accuracy:  0.7693
Epoch  4 Epoch Loss :  0.04296276410802368
Training loss:  0.6766192727038608  Training accuracy:  0.7876481481481481
Validation loss:  0.6732079207712984  Validation accuracy:  0.7931666666666667
Testing loss:  0.696210412037363  Testing accuracy:  0.7758
Epoch  5 Epoch Loss :  0.04192412157121176
Training loss:  0.6633194374349142  Training accuracy:  0.7927037037037037
Validation loss:  0.6599141336923653  Validation accuracy:  0.7996666666666666
Testing loss:  0.6833296496350303  Testing accuracy:  0.7809
Epoch  6 Epoch Loss :  0.04122285929823368
Training loss:  0.6540211552010518  Training accuracy:  0.7963703703703704
Validation loss:  0.6506084349914237  Validation accuracy:  0.8025
Testing loss:  0.6743718247524966  Testing accuracy:  0.784
Epoch  7 Epoch Loss :  0.04071838217232454
Training loss:  0.6471416320115193  Training accuracy:  0.7986851851851852
Validation loss:  0.6436948471474054  Validation accuracy:  0.804
Testing loss:  0.6677820654028326  Testing accuracy:  0.7885
Epoch  8 Epoch Loss :  0.04033673002081007
Training loss:  0.6418223591487822  Training accuracy:  0.8
Validation loss:  0.6383179062266116  Validation accuracy:  0.8051666666666667
Testing loss:  0.6627161665997024  Testing accuracy:  0.7908
Epoch  9 Epoch Loss :  0.04003678058201733
Training loss:  0.6375733524387847  Training accuracy:  0.8015740740740741
Validation loss:  0.6339949043944971  Validation accuracy:  0.8066666666666666
Testing loss:  0.6586910931685686  Testing accuracy:  0.792
