
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function sigmoid at 0x7fbe3199fce0>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.037200262644670856
Training loss:  2.3616254490407695  Training accuracy:  0.1
Validation loss:  2.361619376522431  Validation accuracy:  0.1
Testing loss:  2.3616211613274096  Testing accuracy:  0.1
Epoch  1 Epoch Loss :  0.03676555057785383
Training loss:  2.339678960061998  Training accuracy:  0.1
Validation loss:  2.339673085376785  Validation accuracy:  0.1
Testing loss:  2.3396747098809967  Testing accuracy:  0.1
Epoch  2 Epoch Loss :  0.03648956431039019
Training loss:  2.3257369064641846  Training accuracy:  0.1
Validation loss:  2.325731138372508  Validation accuracy:  0.1
Testing loss:  2.325732682172924  Testing accuracy:  0.1
Epoch  3 Epoch Loss :  0.03631453906243611
Training loss:  2.3169265484487096  Training accuracy:  0.1
Validation loss:  2.316920912756372  Validation accuracy:  0.1
Testing loss:  2.316922256959102  Testing accuracy:  0.1
Epoch  4 Epoch Loss :  0.036204396401064994
Training loss:  2.3114160058296664  Training accuracy:  0.1
Validation loss:  2.311410669345308  Validation accuracy:  0.1
Testing loss:  2.3114112128564557  Testing accuracy:  0.1
