
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function tanh at 0x7fbe3199fe20>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.14391253951208863
Training loss:  2.3025734177167165  Training accuracy:  0.1
Validation loss:  2.3025733733406057  Validation accuracy:  0.1
Testing loss:  2.302573783282774  Testing accuracy:  0.1
Epoch  1 Epoch Loss :  0.14391245265208874
Training loss:  2.3025720431395227  Training accuracy:  0.1
Validation loss:  2.302572007398692  Validation accuracy:  0.1
Testing loss:  2.302572423361085  Testing accuracy:  0.1
Epoch  2 Epoch Loss :  0.1439123664344414
Training loss:  2.302570643073049  Training accuracy:  0.1
Validation loss:  2.3025706160534676  Validation accuracy:  0.1
Testing loss:  2.3025710383726086  Testing accuracy:  0.1
Epoch  3 Epoch Loss :  0.1439122772478403
Training loss:  2.302569180506743  Training accuracy:  0.1
Validation loss:  2.302569162317383  Validation accuracy:  0.1
Testing loss:  2.302569591378609  Testing accuracy:  0.1
Epoch  4 Epoch Loss :  0.14391218355465987
Training loss:  2.302567639635498  Training accuracy:  0.1
Validation loss:  2.302567630409198  Validation accuracy:  0.1
Testing loss:  2.302568066651582  Testing accuracy:  0.1
Epoch  5 Epoch Loss :  0.14391208467734043
Training loss:  2.3025660127509227  Training accuracy:  0.1
Validation loss:  2.30256601264533  Validation accuracy:  0.1
Testing loss:  2.3025664565678414  Testing accuracy:  0.1
Epoch  6 Epoch Loss :  0.14391198022549204
Training loss:  2.30256429413081  Training accuracy:  0.1
Validation loss:  2.3025643033294423  Validation accuracy:  0.1
Testing loss:  2.3025647554984827  Testing accuracy:  0.1
Epoch  7 Epoch Loss :  0.14391186983241053
Training loss:  2.3025624772705022  Training accuracy:  0.1
Validation loss:  2.30256249598396  Validation accuracy:  0.1
Testing loss:  2.302562957042485  Testing accuracy:  0.1
Epoch  8 Epoch Loss :  0.14391175303724948
Training loss:  2.30256055365426  Training accuracy:  0.1
Validation loss:  2.3025605821216004  Validation accuracy:  0.1
Testing loss:  2.3025610528001064  Testing accuracy:  0.1
Epoch  9 Epoch Loss :  0.14391162923240727
Training loss:  2.3025585121848873  Training accuracy:  0.1
Validation loss:  2.3025585506751933  Validation accuracy:  0.1
Testing loss:  2.302559031804948  Testing accuracy:  0.1
