
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function tanh at 0x7fbe3199fe20>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.07860426424310968
Training loss:  0.8947974883910679  Training accuracy:  0.7085
Validation loss:  0.8954708730098374  Validation accuracy:  0.7048333333333333
Testing loss:  0.9089623843316765  Testing accuracy:  0.6976
Epoch  1 Epoch Loss :  0.0508949467594974
Training loss:  0.755193658086317  Training accuracy:  0.7483518518518518
Validation loss:  0.7564894187262439  Validation accuracy:  0.7443333333333333
Testing loss:  0.7717197149712887  Testing accuracy:  0.7357
Epoch  2 Epoch Loss :  0.04552402110696444
Training loss:  0.7020639979570096  Training accuracy:  0.7668333333333334
Validation loss:  0.703395077668261  Validation accuracy:  0.7638333333333334
Testing loss:  0.7195346614307717  Testing accuracy:  0.7561
Epoch  3 Epoch Loss :  0.0431008268414459
Training loss:  0.674159488426375  Training accuracy:  0.7787592592592593
Validation loss:  0.6754174809113814  Validation accuracy:  0.7765
Testing loss:  0.6920528859115479  Testing accuracy:  0.7705
Epoch  4 Epoch Loss :  0.04172357020934404
Training loss:  0.6571323990555731  Training accuracy:  0.7871111111111111
Validation loss:  0.6584049873029726  Validation accuracy:  0.7838333333333334
Testing loss:  0.6752945282993773  Testing accuracy:  0.7782
