
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function sigmoid at 0x7fbe3199fce0>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.07198947403950105
Training loss:  2.3028384264241857  Training accuracy:  0.1
Validation loss:  2.302838413293751  Validation accuracy:  0.1
Testing loss:  2.3028384236133856  Testing accuracy:  0.1
Epoch  1 Epoch Loss :  0.07198462172350904
Training loss:  2.302724412656461  Training accuracy:  0.1
Validation loss:  2.302724399761827  Validation accuracy:  0.1
Testing loss:  2.3027244098061654  Testing accuracy:  0.1
Epoch  2 Epoch Loss :  0.07198191651942672
Training loss:  2.302660668379205  Training accuracy:  0.1
Validation loss:  2.302660655690372  Validation accuracy:  0.1
Testing loss:  2.3026606655077115  Testing accuracy:  0.1
Epoch  3 Epoch Loss :  0.0719803979827591
Training loss:  2.3026248047701827  Training accuracy:  0.1
Validation loss:  2.3026247922654783  Validation accuracy:  0.1
Testing loss:  2.30262480189092  Testing accuracy:  0.1
Epoch  4 Epoch Loss :  0.07197953929070425
Training loss:  2.3026044925043965  Training accuracy:  0.1
Validation loss:  2.3026044801679086  Validation accuracy:  0.1
Testing loss:  2.30260448962721  Testing accuracy:  0.1
Epoch  5 Epoch Loss :  0.07197904953132002
Training loss:  2.302592901509247  Training accuracy:  0.1
Validation loss:  2.3025928893291128  Validation accuracy:  0.1
Testing loss:  2.3025928986413393  Testing accuracy:  0.1
Epoch  6 Epoch Loss :  0.07197876717771504
Training loss:  2.3025862288762844  Training accuracy:  0.1
Validation loss:  2.3025862168435247  Validation accuracy:  0.1
Testing loss:  2.302586226022905  Testing accuracy:  0.1
Epoch  7 Epoch Loss :  0.07197860210631975
Training loss:  2.302582347206281  Training accuracy:  0.1
Validation loss:  2.3025823353139927  Validation accuracy:  0.1
Testing loss:  2.30258234437124  Testing accuracy:  0.1
Epoch  8 Epoch Loss :  0.07197850379744143
Training loss:  2.3025800607482854  Training accuracy:  0.1
Validation loss:  2.3025800489910697  Validation accuracy:  0.1
Testing loss:  2.302580057934326  Testing accuracy:  0.1
Epoch  9 Epoch Loss :  0.07197844379337699
Training loss:  2.302578693934055  Training accuracy:  0.1
Validation loss:  2.302578682307613  Validation accuracy:  0.1
Testing loss:  2.30257869114313  Testing accuracy:  0.1
