
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function relu at 0x7fbe3199fba0>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.14172040985039797
Training loss:  2.2273694688561623  Training accuracy:  0.17429629629629628
Validation loss:  2.2274662344684777  Validation accuracy:  0.171
Testing loss:  2.228766071421168  Testing accuracy:  0.1735
Epoch  1 Epoch Loss :  0.13687720538508738
Training loss:  2.1511503472175892  Training accuracy:  0.21451851851851853
Validation loss:  2.150388336767843  Validation accuracy:  0.21033333333333334
Testing loss:  2.1527205812727193  Testing accuracy:  0.2125
Epoch  2 Epoch Loss :  0.13162905803633537
Training loss:  2.058231010897661  Training accuracy:  0.27864814814814814
Validation loss:  2.056951162513977  Validation accuracy:  0.2765
Testing loss:  2.0603902427025753  Testing accuracy:  0.2724
Epoch  3 Epoch Loss :  0.12542253314420707
Training loss:  1.9538675067427649  Training accuracy:  0.3382222222222222
Validation loss:  1.9518904799849686  Validation accuracy:  0.3373333333333333
Testing loss:  1.9570602058690951  Testing accuracy:  0.3338
Epoch  4 Epoch Loss :  0.11871090449422912
Training loss:  1.8439144099086555  Training accuracy:  0.36942592592592594
Validation loss:  1.8410543251052232  Validation accuracy:  0.36683333333333334
Testing loss:  1.8479064021464893  Testing accuracy:  0.3692
Epoch  5 Epoch Loss :  0.1117148935519577
Training loss:  1.7306516753632029  Training accuracy:  0.3751851851851852
Validation loss:  1.7269684784233896  Validation accuracy:  0.37633333333333335
Testing loss:  1.7354140237576212  Testing accuracy:  0.371
Epoch  6 Epoch Loss :  0.10466800680452631
Training loss:  1.619400728496527  Training accuracy:  0.4149259259259259
Validation loss:  1.6150651316732385  Validation accuracy:  0.413
Testing loss:  1.6252296594128621  Testing accuracy:  0.4066
Epoch  7 Epoch Loss :  0.09791482708257394
Training loss:  1.5150028457842186  Training accuracy:  0.4643703703703704
Validation loss:  1.509782769851854  Validation accuracy:  0.46416666666666667
Testing loss:  1.522077263294186  Testing accuracy:  0.4552
Epoch  8 Epoch Loss :  0.09173642009107767
Training loss:  1.4225202359897395  Training accuracy:  0.5320185185185186
Validation loss:  1.4160234003480252  Validation accuracy:  0.5353333333333333
Testing loss:  1.4305692389289095  Testing accuracy:  0.5247
Epoch  9 Epoch Loss :  0.08631664587503723
Training loss:  1.3408263515101622  Training accuracy:  0.5671851851851852
Validation loss:  1.3331832489328073  Validation accuracy:  0.5695
Testing loss:  1.3496764208863488  Testing accuracy:  0.5593
