----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function sigmoid at 0x7fbe3199fce0>
Epoch  0 Epoch Loss :  0.035991645133780344
Training loss:  2.302601716205364  Training accuracy:  0.1
Validation loss:  2.302601717964155  Validation accuracy:  0.1
Testing loss:  2.302601722624632  Testing accuracy:  0.1
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  1 Epoch Loss :  0.03599043428038414
Training loss:  2.302592009862022  Training accuracy:  0.1
Validation loss:  2.3025920115755736  Validation accuracy:  0.1
Testing loss:  2.3025920161338953  Testing accuracy:  0.1
Epoch  2 Epoch Loss :  0.03599041017926577
Training loss:  2.3025926915786985  Training accuracy:  0.1
Validation loss:  2.302592693248399  Validation accuracy:  0.1
Testing loss:  2.3025926976905717  Testing accuracy:  0.1
Epoch  3 Epoch Loss :  0.03599041593267466
Training loss:  2.3025930286058798  Training accuracy:  0.1
Validation loss:  2.302593030232876  Validation accuracy:  0.1
Testing loss:  2.3025930345581886  Testing accuracy:  0.1
Epoch  4 Epoch Loss :  0.03599041424348365
Training loss:  2.3025931190308433  Training accuracy:  0.1
Validation loss:  2.3025931206162173  Validation accuracy:  0.1
Testing loss:  2.3025931248268936  Testing accuracy:  0.1
