
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function tanh at 0x7fbe3199fe20>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.06868198937220857
Training loss:  2.079525563842767  Training accuracy:  0.3986296296296296
Validation loss:  2.08051773099186  Validation accuracy:  0.3978333333333333
Testing loss:  2.0797674640462525  Testing accuracy:  0.3954
Epoch  1 Epoch Loss :  0.06165355532479753
Training loss:  1.8608925367814453  Training accuracy:  0.5041851851851852
Validation loss:  1.860921945802825  Validation accuracy:  0.5023333333333333
Testing loss:  1.862398912913448  Testing accuracy:  0.5004
Epoch  2 Epoch Loss :  0.055140057053207236
Training loss:  1.6665097424081774  Training accuracy:  0.5503148148148148
Validation loss:  1.665831319144962  Validation accuracy:  0.5465
Testing loss:  1.6693327358404204  Testing accuracy:  0.5456
Epoch  3 Epoch Loss :  0.04964064787128438
Training loss:  1.5096431687910197  Training accuracy:  0.5864814814814815
Validation loss:  1.5086155698250343  Validation accuracy:  0.5841666666666666
Testing loss:  1.5137497126759165  Testing accuracy:  0.584
Epoch  4 Epoch Loss :  0.0452960143100356
Training loss:  1.3873829246963167  Training accuracy:  0.616537037037037
Validation loss:  1.3861850183057758  Validation accuracy:  0.6166666666666667
Testing loss:  1.3926824041714092  Testing accuracy:  0.6135
Epoch  5 Epoch Loss :  0.04191119236376732
Training loss:  1.2917903281155507  Training accuracy:  0.6371851851851852
Validation loss:  1.2904680064255145  Validation accuracy:  0.6383333333333333
Testing loss:  1.2981887977277575  Testing accuracy:  0.6336
Epoch  6 Epoch Loss :  0.03924401211155533
Training loss:  1.2157383154259405  Training accuracy:  0.649425925925926
Validation loss:  1.2142924153185575  Validation accuracy:  0.6498333333333334
Testing loss:  1.223154338171333  Testing accuracy:  0.6435
Epoch  7 Epoch Loss :  0.037100848882093335
Training loss:  1.1539694782249308  Training accuracy:  0.656962962962963
Validation loss:  1.1523967611796964  Validation accuracy:  0.6588333333333334
Testing loss:  1.1623313999970968  Testing accuracy:  0.6511
Epoch  8 Epoch Loss :  0.03534314507925224
Training loss:  1.1027994631140405  Training accuracy:  0.6629074074074074
Validation loss:  1.1011024348671254  Validation accuracy:  0.6651666666666667
Testing loss:  1.112040501995843  Testing accuracy:  0.6554
Epoch  9 Epoch Loss :  0.033874253911298974
Training loss:  1.059660160046672  Training accuracy:  0.668037037037037
Validation loss:  1.0578459537145168  Validation accuracy:  0.6688333333333333
Testing loss:  1.0697153081407162  Testing accuracy:  0.6593
