
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function tanh at 0x7fbe3199fe20>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.14391091277077803
Training loss:  2.302512009696289  Training accuracy:  0.10561111111111111
Validation loss:  2.302512984398067  Validation accuracy:  0.10566666666666667
Testing loss:  2.3025117052326585  Testing accuracy:  0.1065
Epoch  1 Epoch Loss :  0.14390639892763946
Training loss:  2.302437631852721  Training accuracy:  0.11148148148148149
Validation loss:  2.3024384181191087  Validation accuracy:  0.1115
Testing loss:  2.3024375613995756  Testing accuracy:  0.1133
Epoch  2 Epoch Loss :  0.1439015119514587
Training loss:  2.30235466486945  Training accuracy:  0.11587037037037037
Validation loss:  2.3023552947955364  Validation accuracy:  0.1155
Testing loss:  2.3023548517604886  Testing accuracy:  0.1172
Epoch  3 Epoch Loss :  0.14389589468078784
Training loss:  2.3022565688468934  Training accuracy:  0.11844444444444445
Validation loss:  2.3022570871729724  Validation accuracy:  0.12033333333333333
Testing loss:  2.3022570482863602  Testing accuracy:  0.1202
Epoch  4 Epoch Loss :  0.14388905478105796
Training loss:  2.302133786233257  Training accuracy:  0.12007407407407407
Validation loss:  2.3021342649076133  Validation accuracy:  0.122
Testing loss:  2.3021346121945303  Testing accuracy:  0.1208
Epoch  5 Epoch Loss :  0.1438802307257216
Training loss:  2.301970830792514  Training accuracy:  0.12064814814814814
Validation loss:  2.301971398007953  Validation accuracy:  0.1225
Testing loss:  2.3019720888038178  Testing accuracy:  0.1213
Epoch  6 Epoch Loss :  0.14386812297141208
Training loss:  2.301740095875721  Training accuracy:  0.12057407407407407
Validation loss:  2.301740999796078  Validation accuracy:  0.12416666666666666
Testing loss:  2.3017419288846357  Testing accuracy:  0.1225
Epoch  7 Epoch Loss :  0.14385027939590186
Training loss:  2.301386875141847  Training accuracy:  0.11981481481481482
Validation loss:  2.3013886391767087  Validation accuracy:  0.122
Testing loss:  2.3013895417609835  Testing accuracy:  0.1205
Epoch  8 Epoch Loss :  0.1438214742562964
Training loss:  2.3007870359933897  Training accuracy:  0.1195
Validation loss:  2.3007908918195774  Validation accuracy:  0.12216666666666667
Testing loss:  2.3007910619704193  Testing accuracy:  0.1201
Epoch  9 Epoch Loss :  0.14376853769224635
Training loss:  2.2995986961191335  Training accuracy:  0.30733333333333335
Validation loss:  2.2996080496931195  Validation accuracy:  0.31033333333333335
Testing loss:  2.299605359228388  Testing accuracy:  0.3119
