----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function relu at 0x7f3cfa05bba0>
Epoch  0 Epoch Loss :  0.03598850841669655
Training loss:  2.3025733351246496  Training accuracy:  0.11318518518518518
Validation loss:  2.3025734675285108  Validation accuracy:  0.11166666666666666
Testing loss:  2.3025733431714923  Testing accuracy:  0.1128
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  1 Epoch Loss :  0.03598846109147937
Training loss:  2.302571261066211  Training accuracy:  0.1
Validation loss:  2.3025714152600987  Validation accuracy:  0.1
Testing loss:  2.3025713067029128  Testing accuracy:  0.1
Epoch  2 Epoch Loss :  0.03598844306744035
Training loss:  2.302570708904792  Training accuracy:  0.1
Validation loss:  2.30257084538714  Validation accuracy:  0.1
Testing loss:  2.3025707615954203  Testing accuracy:  0.1
Epoch  3 Epoch Loss :  0.03598843623354314
Training loss:  2.3025703310707826  Training accuracy:  0.1
Validation loss:  2.302570457260298  Validation accuracy:  0.1
Testing loss:  2.3025703841519247  Testing accuracy:  0.1
Epoch  4 Epoch Loss :  0.0359884306586753
Training loss:  2.3025699890614564  Training accuracy:  0.1
Validation loss:  2.302570111451977  Validation accuracy:  0.1
Testing loss:  2.3025700435748533  Testing accuracy:  0.1
