
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function relu at 0x7f3cfa05bba0>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.14391195814585214
Training loss:  2.3025750897389017  Training accuracy:  0.1
Validation loss:  2.302575089743612  Validation accuracy:  0.1
Testing loss:  2.302575089752449  Testing accuracy:  0.1
Epoch  1 Epoch Loss :  0.1439119406260813
Training loss:  2.302575089667723  Training accuracy:  0.1
Validation loss:  2.3025750896825468  Validation accuracy:  0.1
Testing loss:  2.3025750896767856  Testing accuracy:  0.1
Epoch  2 Epoch Loss :  0.14391192348062476
Training loss:  2.302575089821677  Training accuracy:  0.1
Validation loss:  2.302575089835803  Validation accuracy:  0.1
Testing loss:  2.3025750898385993  Testing accuracy:  0.1
Epoch  3 Epoch Loss :  0.14391190669654505
Training loss:  2.302575089900462  Training accuracy:  0.1
Validation loss:  2.3025750899130566  Validation accuracy:  0.1
Testing loss:  2.3025750899338235  Testing accuracy:  0.1
Epoch  4 Epoch Loss :  0.14391189026404888
Training loss:  2.3025750901805937  Training accuracy:  0.1
Validation loss:  2.302575090193379  Validation accuracy:  0.1
Testing loss:  2.3025750902147784  Testing accuracy:  0.1
Epoch  5 Epoch Loss :  0.14391187418363105
Training loss:  2.302575090490871  Training accuracy:  0.1
Validation loss:  2.3025750905034124  Validation accuracy:  0.1
Testing loss:  2.3025750905242424  Testing accuracy:  0.1
Epoch  6 Epoch Loss :  0.14391185843983265
Training loss:  2.302575090806528  Training accuracy:  0.1
Validation loss:  2.3025750908192566  Validation accuracy:  0.1
Testing loss:  2.3025750908383724  Testing accuracy:  0.1
Epoch  7 Epoch Loss :  0.14391184302548923
Training loss:  2.3025750911269105  Training accuracy:  0.1
Validation loss:  2.3025750911404317  Validation accuracy:  0.1
Testing loss:  2.3025750911572342  Testing accuracy:  0.1
Epoch  8 Epoch Loss :  0.14391182793322277
Training loss:  2.3025750914516654  Training accuracy:  0.1
Validation loss:  2.3025750914656067  Validation accuracy:  0.1
Testing loss:  2.3025750914803766  Testing accuracy:  0.1
Epoch  9 Epoch Loss :  0.1439118131566703
Training loss:  2.3025750917772054  Training accuracy:  0.1
Validation loss:  2.3025750917913004  Validation accuracy:  0.1
Testing loss:  2.3025750918036265  Testing accuracy:  0.1
