
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function relu at 0x7f3cfa05bba0>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.1439126088844415
Training loss:  2.302574561901495  Training accuracy:  0.1
Validation loss:  2.302574572157329  Validation accuracy:  0.1
Testing loss:  2.302574569476128  Testing accuracy:  0.1
Epoch  1 Epoch Loss :  0.14391260656227833
Training loss:  2.3025745448347474  Training accuracy:  0.1
Validation loss:  2.3025745526661616  Validation accuracy:  0.1
Testing loss:  2.3025745535132156  Testing accuracy:  0.1
Epoch  2 Epoch Loss :  0.14391260830616906
Training loss:  2.3025745904451123  Training accuracy:  0.1
Validation loss:  2.3025745981705463  Validation accuracy:  0.1
Testing loss:  2.302574599141835  Testing accuracy:  0.1
Epoch  3 Epoch Loss :  0.14391261165641572
Training loss:  2.3025746363602115  Training accuracy:  0.1
Validation loss:  2.3025746441164445  Validation accuracy:  0.1
Testing loss:  2.3025746451081095  Testing accuracy:  0.1
Epoch  4 Epoch Loss :  0.14391261420588394
Training loss:  2.302574666380214  Training accuracy:  0.1
Validation loss:  2.3025746738641004  Validation accuracy:  0.1
Testing loss:  2.3025746747552125  Testing accuracy:  0.1
Epoch  5 Epoch Loss :  0.1439126158710844
Training loss:  2.3025746883420135  Training accuracy:  0.1
Validation loss:  2.3025746960111784  Validation accuracy:  0.1
Testing loss:  2.302574696454695  Testing accuracy:  0.1
Epoch  6 Epoch Loss :  0.14391261730414895
Training loss:  2.3025747094096647  Training accuracy:  0.1
Validation loss:  2.302574717317632  Validation accuracy:  0.1
Testing loss:  2.3025747173575426  Testing accuracy:  0.1
Epoch  7 Epoch Loss :  0.14391261853073908
Training loss:  2.3025747254864144  Training accuracy:  0.1
Validation loss:  2.302574733478773  Validation accuracy:  0.1
Testing loss:  2.302574733243403  Testing accuracy:  0.1
Epoch  8 Epoch Loss :  0.1439126193691256
Training loss:  2.302574734744564  Training accuracy:  0.1
Validation loss:  2.3025747426446013  Validation accuracy:  0.1
Testing loss:  2.30257474230745  Testing accuracy:  0.1
Epoch  9 Epoch Loss :  0.143912619746911
Training loss:  2.3025747375963834  Training accuracy:  0.1
Validation loss:  2.3025747452296974  Validation accuracy:  0.1
Testing loss:  2.3025747452005683  Testing accuracy:  0.1
