----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function relu at 0x7f3cfa05bba0>
Epoch  0 Epoch Loss :  0.03371469597942837
Training loss:  2.001862337202685  Training accuracy:  0.29294444444444445
Validation loss:  2.003726225444632  Validation accuracy:  0.29033333333333333
Testing loss:  2.003922742015636  Testing accuracy:  0.2901
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  1 Epoch Loss :  0.027935803818493636
Training loss:  1.5665457303933679  Training accuracy:  0.5685555555555556
Validation loss:  1.56977133087018  Validation accuracy:  0.5641666666666667
Testing loss:  1.5714213590078527  Testing accuracy:  0.5628
Epoch  2 Epoch Loss :  0.02167492911223453
Training loss:  1.2348509826105472  Training accuracy:  0.6211111111111111
Validation loss:  1.240215746875588  Validation accuracy:  0.6211666666666666
Testing loss:  1.24290741648172  Testing accuracy:  0.6094
Epoch  3 Epoch Loss :  0.01771583860844371
Training loss:  1.0490114090591804  Training accuracy:  0.6412777777777777
Validation loss:  1.056898832422682  Validation accuracy:  0.6403333333333333
Testing loss:  1.0602712866421424  Testing accuracy:  0.6313
Epoch  4 Epoch Loss :  0.015465222529027017
Training loss:  0.9375484450809829  Training accuracy:  0.6691666666666667
Validation loss:  0.9482038898812882  Validation accuracy:  0.6696666666666666
Testing loss:  0.9513639531888314  Testing accuracy:  0.661
Epoch  5 Epoch Loss :  0.01404155818107835
Training loss:  0.863223282756445  Training accuracy:  0.6933518518518519
Validation loss:  0.8763189483990294  Validation accuracy:  0.6915
Testing loss:  0.8789934456025567  Testing accuracy:  0.6821
Epoch  6 Epoch Loss :  0.013048813373200928
Training loss:  0.8090130745455307  Training accuracy:  0.7097407407407408
Validation loss:  0.82408014387783  Validation accuracy:  0.7075
Testing loss:  0.8263753530141003  Testing accuracy:  0.6997
Epoch  7 Epoch Loss :  0.012307239123354461
Training loss:  0.767934566903073  Training accuracy:  0.7235925925925926
Validation loss:  0.7847312625279291  Validation accuracy:  0.7195
Testing loss:  0.7865782644325298  Testing accuracy:  0.7118
Epoch  8 Epoch Loss :  0.011736113749675606
Training loss:  0.735514845870386  Training accuracy:  0.7381296296296296
Validation loss:  0.7539373855676864  Validation accuracy:  0.7291666666666666
Testing loss:  0.755105553201464  Testing accuracy:  0.7257
Epoch  9 Epoch Loss :  0.01127272022654153
Training loss:  0.7085622829920786  Training accuracy:  0.7500925925925926
Validation loss:  0.7285243274605381  Validation accuracy:  0.7428333333333333
Testing loss:  0.729009907081246  Testing accuracy:  0.7399
