
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function relu at 0x7f3cfa05bba0>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.14072458591241183
Training loss:  2.1934173574808256  Training accuracy:  0.34935185185185186
Validation loss:  2.1942722983689555  Validation accuracy:  0.3368333333333333
Testing loss:  2.19457884930984  Testing accuracy:  0.3445
Epoch  1 Epoch Loss :  0.13344613634491032
Training loss:  2.0700311296773193  Training accuracy:  0.49112962962962964
Validation loss:  2.071754007669125  Validation accuracy:  0.48233333333333334
Testing loss:  2.0719199731908726  Testing accuracy:  0.4893
Epoch  2 Epoch Loss :  0.12419449309203315
Training loss:  1.8951674283469708  Training accuracy:  0.5752777777777778
Validation loss:  1.8980387284895421  Validation accuracy:  0.5676666666666667
Testing loss:  1.8979969256049274  Testing accuracy:  0.5636
Epoch  3 Epoch Loss :  0.11179223163224368
Training loss:  1.6765006662431845  Training accuracy:  0.6390185185185185
Validation loss:  1.680294067297241  Validation accuracy:  0.631
Testing loss:  1.681191713545044  Testing accuracy:  0.6294
Epoch  4 Epoch Loss :  0.09764157940536018
Training loss:  1.4508485751224887  Training accuracy:  0.6544629629629629
Validation loss:  1.4550638880637714  Validation accuracy:  0.6471666666666667
Testing loss:  1.457690137803686  Testing accuracy:  0.6453
Epoch  5 Epoch Loss :  0.08460600100941311
Training loss:  1.2651865821792483  Training accuracy:  0.6603333333333333
Validation loss:  1.2700092720644938  Validation accuracy:  0.6543333333333333
Testing loss:  1.2740636885029166  Testing accuracy:  0.652
Epoch  6 Epoch Loss :  0.07468525175589748
Training loss:  1.132162489349757  Training accuracy:  0.6681666666666667
Validation loss:  1.1372861254863127  Validation accuracy:  0.6646666666666666
Testing loss:  1.142748032443955  Testing accuracy:  0.6582
Epoch  7 Epoch Loss :  0.06767034367410528
Training loss:  1.037873496747608  Training accuracy:  0.6787592592592593
Validation loss:  1.0429647674489786  Validation accuracy:  0.6778333333333333
Testing loss:  1.049872418528283  Testing accuracy:  0.6678
Epoch  8 Epoch Loss :  0.06261021175391411
Training loss:  0.9684439629485905  Training accuracy:  0.690462962962963
Validation loss:  0.9733185460765001  Validation accuracy:  0.6915
Testing loss:  0.981669597644245  Testing accuracy:  0.6763
Epoch  9 Epoch Loss :  0.058816843662772005
Training loss:  0.9153544966767132  Training accuracy:  0.7020740740740741
Validation loss:  0.9199975858457204  Validation accuracy:  0.703
Testing loss:  0.9297172243773737  Testing accuracy:  0.6858
