
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function tanh at 0x7f3cfa05be20>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.028591940655301806
Training loss:  1.438959420756098  Training accuracy:  0.6265185185185185
Validation loss:  1.440434477172908  Validation accuracy:  0.6181666666666666
Testing loss:  1.4477079593906639  Testing accuracy:  0.6131
Epoch  1 Epoch Loss :  0.019561273811524376
Training loss:  1.1112959889718943  Training accuracy:  0.6664074074074074
Validation loss:  1.113452833081155  Validation accuracy:  0.665
Testing loss:  1.1239417013593154  Testing accuracy:  0.6547
Epoch  2 Epoch Loss :  0.016096974792690923
Training loss:  0.9587924660238386  Training accuracy:  0.699962962962963
Validation loss:  0.961270816524057  Validation accuracy:  0.7036666666666667
Testing loss:  0.9742502023720019  Testing accuracy:  0.6831
Epoch  3 Epoch Loss :  0.014246016344564742
Training loss:  0.8662717626643031  Training accuracy:  0.724037037037037
Validation loss:  0.868736313308393  Validation accuracy:  0.7296666666666667
Testing loss:  0.8837274726036211  Testing accuracy:  0.7083
Epoch  4 Epoch Loss :  0.013049060890258956
Training loss:  0.8026355289070665  Training accuracy:  0.7426851851851852
Validation loss:  0.8050215923321721  Validation accuracy:  0.7475
Testing loss:  0.8215755398126674  Testing accuracy:  0.7271
Epoch  5 Epoch Loss :  0.01219260764162148
Training loss:  0.7553210753996719  Training accuracy:  0.7560370370370371
Validation loss:  0.7576725165874719  Validation accuracy:  0.7591666666666667
Testing loss:  0.7754413623639677  Testing accuracy:  0.7388
Epoch  6 Epoch Loss :  0.011538851309501
Training loss:  0.7182849360810378  Training accuracy:  0.7656666666666667
Validation loss:  0.7206689711061032  Validation accuracy:  0.7676666666666667
Testing loss:  0.7393987500786371  Testing accuracy:  0.7501
Epoch  7 Epoch Loss :  0.011017884854622404
Training loss:  0.6882671551562666  Training accuracy:  0.7734814814814814
Validation loss:  0.6907437993934583  Validation accuracy:  0.7781666666666667
Testing loss:  0.7102494325686763  Testing accuracy:  0.7597
Epoch  8 Epoch Loss :  0.010590332020363715
Training loss:  0.6633382920310815  Training accuracy:  0.7801851851851852
Validation loss:  0.6659524191156727  Validation accuracy:  0.7835
Testing loss:  0.686095209063597  Testing accuracy:  0.7661
Epoch  9 Epoch Loss :  0.010232016129045469
Training loss:  0.6422648999413535  Training accuracy:  0.7865740740740741
Validation loss:  0.645046085031857  Validation accuracy:  0.7905
Testing loss:  0.6657188193728721  Testing accuracy:  0.7736
