
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function tanh at 0x7f3cfa05be20>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.0693136438548101
Training loss:  2.109673251105395  Training accuracy:  0.32031481481481483
Validation loss:  2.1120870140872583  Validation accuracy:  0.32016666666666665
Testing loss:  2.1120783272497947  Testing accuracy:  0.3181
Epoch  1 Epoch Loss :  0.06282110535015596
Training loss:  1.9107903904354773  Training accuracy:  0.5292407407407408
Validation loss:  1.912874137545949  Validation accuracy:  0.5276666666666666
Testing loss:  1.914028612944089  Testing accuracy:  0.5267
Epoch  2 Epoch Loss :  0.05679034291102712
Training loss:  1.7258818498777608  Training accuracy:  0.593037037037037
Validation loss:  1.727741918619639  Validation accuracy:  0.5883333333333334
Testing loss:  1.730118294531908  Testing accuracy:  0.5955
Epoch  3 Epoch Loss :  0.05140043977790315
Training loss:  1.567424724971559  Training accuracy:  0.6295555555555555
Validation loss:  1.5691880623352275  Validation accuracy:  0.6253333333333333
Testing loss:  1.5728429119295269  Testing accuracy:  0.6267
Epoch  4 Epoch Loss :  0.04691029629901605
Training loss:  1.4382504152388278  Training accuracy:  0.6545740740740741
Validation loss:  1.440097603576638  Validation accuracy:  0.648
Testing loss:  1.4449545350398851  Testing accuracy:  0.6474
Epoch  5 Epoch Loss :  0.0432769542546725
Training loss:  1.334039260088886  Training accuracy:  0.6667222222222222
Validation loss:  1.33611692406015  Validation accuracy:  0.6586666666666666
Testing loss:  1.3420372132557787  Testing accuracy:  0.6612
Epoch  6 Epoch Loss :  0.04033632725520606
Training loss:  1.2492301114668896  Training accuracy:  0.6760555555555555
Validation loss:  1.2516121717977373  Validation accuracy:  0.6655
Testing loss:  1.2584599936040384  Testing accuracy:  0.6688
Epoch  7 Epoch Loss :  0.03792531105135264
Training loss:  1.179090347080999  Training accuracy:  0.6829074074074074
Validation loss:  1.1817920707881007  Validation accuracy:  0.6751666666666667
Testing loss:  1.1894566516281069  Testing accuracy:  0.6735
Epoch  8 Epoch Loss :  0.03591418492452309
Training loss:  1.1200498535479835  Training accuracy:  0.6886296296296296
Validation loss:  1.1230532965849471  Validation accuracy:  0.682
Testing loss:  1.13144715070048  Testing accuracy:  0.6804
Epoch  9 Epoch Loss :  0.03420759417611405
Training loss:  1.0695369659403378  Training accuracy:  0.6953703703703704
Validation loss:  1.0728093790143263  Validation accuracy:  0.6883333333333334
Testing loss:  1.081861032680239  Testing accuracy:  0.6858
