----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function relu at 0x7f305b597ba0>
Epoch  0 Epoch Loss :  0.03575483780098673
Training loss:  2.2787011112212183  Training accuracy:  0.1444074074074074
Validation loss:  2.2792812783387606  Validation accuracy:  0.14333333333333334
Testing loss:  2.278595479267618  Testing accuracy:  0.142
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  1 Epoch Loss :  0.035477969872670934
Training loss:  2.26106094538837  Training accuracy:  0.21151851851851852
Validation loss:  2.2616979278768214  Validation accuracy:  0.21266666666666667
Testing loss:  2.2609820441071773  Testing accuracy:  0.21
Epoch  2 Epoch Loss :  0.03520075640163252
Training loss:  2.2431654846919127  Training accuracy:  0.24672222222222223
Validation loss:  2.2438062829353354  Validation accuracy:  0.245
Testing loss:  2.2430860696135477  Testing accuracy:  0.2451
Epoch  3 Epoch Loss :  0.03491766823816604
Training loss:  2.224817369982011  Training accuracy:  0.26616666666666666
Validation loss:  2.225449429487704  Validation accuracy:  0.2655
Testing loss:  2.2247466510790965  Testing accuracy:  0.2612
Epoch  4 Epoch Loss :  0.03462668610388564
Training loss:  2.205894026051165  Training accuracy:  0.2814259259259259
Validation loss:  2.206493388968545  Validation accuracy:  0.2801666666666667
Testing loss:  2.2058917989634717  Testing accuracy:  0.2777
