----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function relu at 0x7f305b597ba0>
Epoch  0 Epoch Loss :  0.07141552741236301
Training loss:  2.2753343775673365  Training accuracy:  0.14516666666666667
Validation loss:  2.2750625172484487  Validation accuracy:  0.14966666666666667
Testing loss:  2.2763578904233457  Testing accuracy:  0.1433
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  1 Epoch Loss :  0.07081898350735087
Training loss:  2.2550379201977844  Training accuracy:  0.18648148148148147
Validation loss:  2.2549111429270012  Validation accuracy:  0.18683333333333332
Testing loss:  2.2561147891299553  Testing accuracy:  0.186
Epoch  2 Epoch Loss :  0.07012989441849242
Training loss:  2.231280925443673  Training accuracy:  0.22161111111111112
Validation loss:  2.2313723610224745  Validation accuracy:  0.221
Testing loss:  2.2324204253596456  Testing accuracy:  0.2223
Epoch  3 Epoch Loss :  0.06932226141532766
Training loss:  2.20299755286442  Training accuracy:  0.27540740740740743
Validation loss:  2.2032950464799175  Validation accuracy:  0.27416666666666667
Testing loss:  2.2042662367116796  Testing accuracy:  0.2724
Epoch  4 Epoch Loss :  0.06833339518241428
Training loss:  2.1675175505814264  Training accuracy:  0.31912962962962965
Validation loss:  2.168046488507249  Validation accuracy:  0.31766666666666665
Testing loss:  2.1690896397509287  Testing accuracy:  0.316
