
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function tanh at 0x7f305b597e20>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.14391063854107572
Training loss:  2.302567311927413  Training accuracy:  0.20453703703703704
Validation loss:  2.302567226681231  Validation accuracy:  0.19766666666666666
Testing loss:  2.302567042682696  Testing accuracy:  0.2057
Epoch  1 Epoch Loss :  0.14391062950547964
Training loss:  2.302567167148062  Training accuracy:  0.1603888888888889
Validation loss:  2.3025670808155265  Validation accuracy:  0.15366666666666667
Testing loss:  2.3025668979469365  Testing accuracy:  0.159
Epoch  2 Epoch Loss :  0.14391062044375086
Training loss:  2.302567021945252  Training accuracy:  0.12664814814814815
Validation loss:  2.302566934521885  Validation accuracy:  0.12266666666666666
Testing loss:  2.3025667527840756  Testing accuracy:  0.1238
Epoch  3 Epoch Loss :  0.14391061135522534
Training loss:  2.3025668763084006  Training accuracy:  0.11338888888888889
Validation loss:  2.3025667877896576  Validation accuracy:  0.11033333333333334
Testing loss:  2.3025666071835067  Testing accuracy:  0.1116
Epoch  4 Epoch Loss :  0.1439106022392439
Training loss:  2.3025667302269928  Training accuracy:  0.10951851851851852
Validation loss:  2.3025666406082674  Validation accuracy:  0.10716666666666666
Testing loss:  2.302566461134695  Testing accuracy:  0.1087
