
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function relu at 0x7f305b597ba0>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.14391212539090056
Training loss:  2.3025648757545616  Training accuracy:  0.1
Validation loss:  2.3025650915554334  Validation accuracy:  0.1
Testing loss:  2.302564971444036  Testing accuracy:  0.1
Epoch  1 Epoch Loss :  0.14391194595897538
Training loss:  2.3025634552637246  Training accuracy:  0.1
Validation loss:  2.3025636865297394  Validation accuracy:  0.1
Testing loss:  2.30256354761602  Testing accuracy:  0.1
Epoch  2 Epoch Loss :  0.14391186393740402
Training loss:  2.3025621227615463  Training accuracy:  0.1
Validation loss:  2.3025623715882593  Validation accuracy:  0.1
Testing loss:  2.302562217434989  Testing accuracy:  0.1
Epoch  3 Epoch Loss :  0.14391177478443296
Training loss:  2.3025605749171327  Training accuracy:  0.1
Validation loss:  2.3025608495506216  Validation accuracy:  0.1
Testing loss:  2.302560669769155  Testing accuracy:  0.1
Epoch  4 Epoch Loss :  0.1439116644092425
Training loss:  2.302558746417821  Training accuracy:  0.1
Validation loss:  2.302559030008177  Validation accuracy:  0.1
Testing loss:  2.302558812141566  Testing accuracy:  0.1
