----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function relu at 0x7f305b597ba0>
Epoch  0 Epoch Loss :  0.10494982565612784
Training loss:  1.08709429494669  Training accuracy:  0.6111666666666666
Validation loss:  1.089814017907569  Validation accuracy:  0.6073333333333333
Testing loss:  1.0950814808220126  Testing accuracy:  0.6045
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  1 Epoch Loss :  0.05847967730968243
Training loss:  0.8461610339595024  Training accuracy:  0.6885370370370371
Validation loss:  0.8535823762035409  Validation accuracy:  0.6851666666666667
Testing loss:  0.8614243366280738  Testing accuracy:  0.6797
Epoch  2 Epoch Loss :  0.050417528610078886
Training loss:  0.7728730382501118  Training accuracy:  0.7281111111111112
Validation loss:  0.7815093531934265  Validation accuracy:  0.724
Testing loss:  0.7904628961080348  Testing accuracy:  0.7226
Epoch  3 Epoch Loss :  0.04698389875768461
Training loss:  0.7310250825481697  Training accuracy:  0.7498888888888889
Validation loss:  0.7399214624046435  Validation accuracy:  0.742
Testing loss:  0.7496779695556939  Testing accuracy:  0.7429
Epoch  4 Epoch Loss :  0.04489441748728857
Training loss:  0.7044549091553682  Training accuracy:  0.7611666666666667
Validation loss:  0.7134077192480187  Validation accuracy:  0.7511666666666666
Testing loss:  0.7236673453498054  Testing accuracy:  0.7529
Epoch  5 Epoch Loss :  0.04349063731963332
Training loss:  0.6857454675863649  Training accuracy:  0.7693888888888889
Validation loss:  0.694750463817302  Validation accuracy:  0.7576666666666667
Testing loss:  0.705302614584304  Testing accuracy:  0.7615
Epoch  6 Epoch Loss :  0.04250682557133658
Training loss:  0.6725052888048711  Training accuracy:  0.7757592592592593
Validation loss:  0.6816210169616963  Validation accuracy:  0.765
Testing loss:  0.6924009087814564  Testing accuracy:  0.7662
Epoch  7 Epoch Loss :  0.04178149477132982
Training loss:  0.6623752494659515  Training accuracy:  0.7799444444444444
Validation loss:  0.6715647063049692  Validation accuracy:  0.7703333333333333
Testing loss:  0.6825709964280854  Testing accuracy:  0.7704
Epoch  8 Epoch Loss :  0.04121520483320044
Training loss:  0.6543259791855206  Training accuracy:  0.7831481481481481
Validation loss:  0.6635833162222387  Validation accuracy:  0.7753333333333333
Testing loss:  0.6747996530433816  Testing accuracy:  0.7728
Epoch  9 Epoch Loss :  0.040759274739815395
Training loss:  0.6477634235271029  Training accuracy:  0.7852777777777777
Validation loss:  0.657094743538886  Validation accuracy:  0.7785
Testing loss:  0.668528868615708  Testing accuracy:  0.7751
