
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function tanh at 0x7f305b597e20>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.035701743714362286
Training loss:  2.2406140292569354  Training accuracy:  0.17085185185185184
Validation loss:  2.2429976426627456  Validation accuracy:  0.17616666666666667
Testing loss:  2.240251619053429  Testing accuracy:  0.1706
Epoch  1 Epoch Loss :  0.03438727663123266
Training loss:  2.159914735811993  Training accuracy:  0.2809814814814815
Validation loss:  2.162227200816614  Validation accuracy:  0.2841666666666667
Testing loss:  2.159810566626142  Testing accuracy:  0.2789
Epoch  2 Epoch Loss :  0.033137829527636296
Training loss:  2.080365522708571  Training accuracy:  0.3861111111111111
Validation loss:  2.082685543421695  Validation accuracy:  0.39366666666666666
Testing loss:  2.080536541377666  Testing accuracy:  0.3815
Epoch  3 Epoch Loss :  0.031902703212860095
Training loss:  2.002111555314691  Training accuracy:  0.4476111111111111
Validation loss:  2.004443981531071  Validation accuracy:  0.4525
Testing loss:  2.0026456683694294  Testing accuracy:  0.444
Epoch  4 Epoch Loss :  0.030699635508739123
Training loss:  1.9266513468621091  Training accuracy:  0.48205555555555557
Validation loss:  1.928943496123046  Validation accuracy:  0.4871666666666667
Testing loss:  1.9276358546249726  Testing accuracy:  0.4783
