----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function sigmoid at 0x7f305b597ce0>
Epoch  0 Epoch Loss :  0.03599149070509908
Training loss:  2.302636423651927  Training accuracy:  0.1
Validation loss:  2.3026364236478805  Validation accuracy:  0.1
Testing loss:  2.3026364251276044  Testing accuracy:  0.1
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  1 Epoch Loss :  0.035989817654347535
Training loss:  2.302591257050175  Training accuracy:  0.1
Validation loss:  2.302591256894117  Validation accuracy:  0.1
Testing loss:  2.3025912585883788  Testing accuracy:  0.1
Epoch  2 Epoch Loss :  0.03598946755615221
Training loss:  2.3025818126915674  Training accuracy:  0.1
Validation loss:  2.3025818124653377  Validation accuracy:  0.1
Testing loss:  2.3025818142588568  Testing accuracy:  0.1
Epoch  3 Epoch Loss :  0.03598939736153137
Training loss:  2.302579925238777  Training accuracy:  0.1
Validation loss:  2.3025799249800096  Validation accuracy:  0.1
Testing loss:  2.3025799268196163  Testing accuracy:  0.1
Epoch  4 Epoch Loss :  0.03598938479173461
Training loss:  2.302579590520496  Training accuracy:  0.1
Validation loss:  2.3025795902466144  Validation accuracy:  0.1
Testing loss:  2.302579592107656  Testing accuracy:  0.1
Epoch  5 Epoch Loss :  0.035989383299633144
Training loss:  2.3025795526347492  Training accuracy:  0.1
Validation loss:  2.302579552353845  Validation accuracy:  0.1
Testing loss:  2.302579554224864  Testing accuracy:  0.1
Epoch  6 Epoch Loss :  0.03598938355017654
Training loss:  2.302579560561084  Training accuracy:  0.1
Validation loss:  2.3025795602769215  Validation accuracy:  0.1
Testing loss:  2.3025795621525877  Testing accuracy:  0.1
Epoch  7 Epoch Loss :  0.03598938387157069
Training loss:  2.302579569784454  Training accuracy:  0.1
Validation loss:  2.302579569498786  Validation accuracy:  0.1
Testing loss:  2.302579571376617  Testing accuracy:  0.1
Epoch  8 Epoch Loss :  0.035989384065384
Training loss:  2.3025795752689784  Training accuracy:  0.1
Validation loss:  2.3025795749826194  Validation accuracy:  0.1
Testing loss:  2.30257957686146  Testing accuracy:  0.1
Epoch  9 Epoch Loss :  0.03598938416498675
Training loss:  2.3025795780717906  Training accuracy:  0.1
Validation loss:  2.3025795777851226  Validation accuracy:  0.1
Testing loss:  2.302579579664434  Testing accuracy:  0.1
