----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function relu at 0x7fcca1b17ba0>
Epoch  0 Epoch Loss :  0.035988407493291824
Training loss:  2.3025750875570634  Training accuracy:  0.1
Validation loss:  2.3025750874508546  Validation accuracy:  0.1
Testing loss:  2.302575087579309  Testing accuracy:  0.1
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  1 Epoch Loss :  0.03598840748933962
Training loss:  2.302575087129977  Training accuracy:  0.1
Validation loss:  2.30257508706862  Validation accuracy:  0.1
Testing loss:  2.3025750871733233  Testing accuracy:  0.1
Epoch  2 Epoch Loss :  0.03598840747371519
Training loss:  2.302575086121724  Training accuracy:  0.1
Validation loss:  2.3025750860223235  Validation accuracy:  0.1
Testing loss:  2.3025750861650907  Testing accuracy:  0.1
Epoch  3 Epoch Loss :  0.03598840746588302
Training loss:  2.30257508594255  Training accuracy:  0.1
Validation loss:  2.302575085846979  Validation accuracy:  0.1
Testing loss:  2.302575085989808  Testing accuracy:  0.1
Epoch  4 Epoch Loss :  0.03598840746139461
Training loss:  2.302575085863386  Training accuracy:  0.1
Validation loss:  2.302575085770923  Validation accuracy:  0.1
Testing loss:  2.3025750859120717  Testing accuracy:  0.1
Epoch  5 Epoch Loss :  0.03598840745785091
Training loss:  2.3025750858126983  Training accuracy:  0.1
Validation loss:  2.3025750857200205  Validation accuracy:  0.1
Testing loss:  2.3025750858634013  Testing accuracy:  0.1
Epoch  6 Epoch Loss :  0.035988407454801086
Training loss:  2.302575085792144  Training accuracy:  0.1
Validation loss:  2.302575085699807  Validation accuracy:  0.1
Testing loss:  2.3025750858416805  Testing accuracy:  0.1
Epoch  7 Epoch Loss :  0.035988407452041266
Training loss:  2.302575085779745  Training accuracy:  0.1
Validation loss:  2.3025750856882525  Validation accuracy:  0.1
Testing loss:  2.3025750858283245  Testing accuracy:  0.1
Epoch  8 Epoch Loss :  0.035988407449146324
Training loss:  2.3025750857712723  Training accuracy:  0.1
Validation loss:  2.3025750856795946  Validation accuracy:  0.1
Testing loss:  2.3025750858198606  Testing accuracy:  0.1
Epoch  9 Epoch Loss :  0.03598840744655313
Training loss:  2.3025750857697913  Training accuracy:  0.1
Validation loss:  2.3025750856778955  Validation accuracy:  0.1
Testing loss:  2.30257508581739  Testing accuracy:  0.1
