
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function tanh at 0x7fcca1b17e20>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.07197780432460572
Training loss:  2.3025751104824868  Training accuracy:  0.10081481481481482
Validation loss:  2.3025751092397417  Validation accuracy:  0.1005
Testing loss:  2.3025751116429594  Testing accuracy:  0.1009
Epoch  1 Epoch Loss :  0.07197779920032381
Training loss:  2.302575110203723  Training accuracy:  0.10042592592592593
Validation loss:  2.302575108979291  Validation accuracy:  0.10016666666666667
Testing loss:  2.302575111346356  Testing accuracy:  0.1006
Epoch  2 Epoch Loss :  0.07197779410370769
Training loss:  2.3025751099410297  Training accuracy:  0.10018518518518518
Validation loss:  2.3025751087346484  Validation accuracy:  0.09983333333333333
Testing loss:  2.3025751110660964  Testing accuracy:  0.1003
Epoch  3 Epoch Loss :  0.07197778903458868
Training loss:  2.3025751096937537  Training accuracy:  0.10012962962962962
Validation loss:  2.3025751085051636  Validation accuracy:  0.10016666666666667
Testing loss:  2.302575110801521  Testing accuracy:  0.1001
Epoch  4 Epoch Loss :  0.07197778399280175
Training loss:  2.3025751094612663  Training accuracy:  0.1
Validation loss:  2.302575108290213  Validation accuracy:  0.09983333333333333
Testing loss:  2.302575110551998  Testing accuracy:  0.0999
Epoch  5 Epoch Loss :  0.07197777897818163
Training loss:  2.3025751092429614  Training accuracy:  0.1
Validation loss:  2.302575108089192  Validation accuracy:  0.09983333333333333
Testing loss:  2.302575110316917  Testing accuracy:  0.1
Epoch  6 Epoch Loss :  0.07197777399056564
Training loss:  2.3025751090382545  Training accuracy:  0.10005555555555555
Validation loss:  2.3025751079015215  Validation accuracy:  0.09983333333333333
Testing loss:  2.30257511009569  Testing accuracy:  0.1
Epoch  7 Epoch Loss :  0.07197776902979233
Training loss:  2.3025751088465833  Training accuracy:  0.10005555555555555
Validation loss:  2.3025751077266414  Validation accuracy:  0.09983333333333333
Testing loss:  2.3025751098877505  Testing accuracy:  0.0999
Epoch  8 Epoch Loss :  0.07197776409570153
Training loss:  2.302575108667405  Training accuracy:  0.10003703703703704
Validation loss:  2.302575107564014  Validation accuracy:  0.1
Testing loss:  2.3025751096925533  Testing accuracy:  0.0999
Epoch  9 Epoch Loss :  0.07197775918813441
Training loss:  2.3025751085002004  Training accuracy:  0.10001851851851852
Validation loss:  2.30257510741312  Validation accuracy:  0.1
Testing loss:  2.302575109509573  Testing accuracy:  0.0999
