
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function tanh at 0x7fcca1b17e20>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.035264590567537356
Training loss:  2.181157902199972  Training accuracy:  0.2596111111111111
Validation loss:  2.181230179253156  Validation accuracy:  0.25983333333333336
Testing loss:  2.184360038088303  Testing accuracy:  0.2542
Epoch  1 Epoch Loss :  0.03307735104377747
Training loss:  2.0544022681924985  Training accuracy:  0.4371481481481482
Validation loss:  2.053583287938556  Validation accuracy:  0.4395
Testing loss:  2.0578875893949324  Testing accuracy:  0.4257
Epoch  2 Epoch Loss :  0.031220264454084767
Training loss:  1.9422049779907726  Training accuracy:  0.5175925925925926
Validation loss:  1.940625452572303  Validation accuracy:  0.52
Testing loss:  1.946052366873822  Testing accuracy:  0.5107
Epoch  3 Epoch Loss :  0.029549322788985106
Training loss:  1.8403025010433651  Training accuracy:  0.5572962962962963
Validation loss:  1.838027844191145  Validation accuracy:  0.5611666666666667
Testing loss:  1.8445655818889481  Testing accuracy:  0.5542
Epoch  4 Epoch Loss :  0.02802995544960184
Training loss:  1.7477087271061635  Training accuracy:  0.5748888888888889
Validation loss:  1.7447782253947428  Validation accuracy:  0.5791666666666667
Testing loss:  1.752427204789919  Testing accuracy:  0.5703
Epoch  5 Epoch Loss :  0.026652651863864705
Training loss:  1.6640013357325314  Training accuracy:  0.5857037037037037
Validation loss:  1.6604420263076525  Validation accuracy:  0.5891666666666666
Testing loss:  1.669203312731468  Testing accuracy:  0.5816
Epoch  6 Epoch Loss :  0.025410616033813806
Training loss:  1.5886866862753193  Training accuracy:  0.5944814814814815
Validation loss:  1.584521281930588  Validation accuracy:  0.5983333333333334
Testing loss:  1.594390407076275  Testing accuracy:  0.5891
Epoch  7 Epoch Loss :  0.024294666353580543
Training loss:  1.521085265167132  Training accuracy:  0.6037592592592592
Validation loss:  1.516336582824977  Validation accuracy:  0.606
Testing loss:  1.5273006223278427  Testing accuracy:  0.5954
Epoch  8 Epoch Loss :  0.02329314265442213
Training loss:  1.4604021378906593  Training accuracy:  0.6116481481481482
Validation loss:  1.4550947181983274  Validation accuracy:  0.6126666666666667
Testing loss:  1.4671318818412182  Testing accuracy:  0.6046
Epoch  9 Epoch Loss :  0.022393412940204197
Training loss:  1.4058309962644289  Training accuracy:  0.6186481481481482
Validation loss:  1.3999911433861316  Validation accuracy:  0.6206666666666667
Testing loss:  1.4130718804810636  Testing accuracy:  0.6128
