----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function sigmoid at 0x7f0d15f17ce0>
Epoch  0 Epoch Loss :  0.03599493330160331
Training loss:  2.302956830715833  Training accuracy:  0.1
Validation loss:  2.3029568307751003  Validation accuracy:  0.1
Testing loss:  2.302956830749449  Testing accuracy:  0.1
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  1 Epoch Loss :  0.03599404220166779
Training loss:  2.302903969520348  Training accuracy:  0.1
Validation loss:  2.3029039695792375  Validation accuracy:  0.1
Testing loss:  2.302903969553653  Testing accuracy:  0.1
Epoch  2 Epoch Loss :  0.035993274270486666
Training loss:  2.302858418566977  Training accuracy:  0.1
Validation loss:  2.3028584186255157  Validation accuracy:  0.1
Testing loss:  2.3028584185999943  Testing accuracy:  0.1
Epoch  3 Epoch Loss :  0.03599261256500079
Training loss:  2.302819171525898  Training accuracy:  0.1
Validation loss:  2.3028191715841086  Validation accuracy:  0.1
Testing loss:  2.3028191715586455  Testing accuracy:  0.1
Epoch  4 Epoch Loss :  0.03599204245400487
Training loss:  2.302785359524457  Training accuracy:  0.1
Validation loss:  2.302785359582364  Validation accuracy:  0.1
Testing loss:  2.3027853595569567  Testing accuracy:  0.1
