
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function sigmoid at 0x7f0d15f17ce0>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.0719975711365993
Training loss:  2.302907893280322  Training accuracy:  0.1
Validation loss:  2.30290789419583  Validation accuracy:  0.1
Testing loss:  2.302907892390956  Testing accuracy:  0.1
Epoch  1 Epoch Loss :  0.07198438385381518
Training loss:  2.30268273565565  Training accuracy:  0.1
Validation loss:  2.3026827365725837  Validation accuracy:  0.1
Testing loss:  2.3026827347634318  Testing accuracy:  0.1
Epoch  2 Epoch Loss :  0.0719801910336851
Training loss:  2.30261065192131  Training accuracy:  0.1
Validation loss:  2.3026106528391184  Validation accuracy:  0.1
Testing loss:  2.302610651027571  Testing accuracy:  0.1
Epoch  3 Epoch Loss :  0.07197884811198893
Training loss:  2.3025874950289937  Training accuracy:  0.1
Validation loss:  2.302587495947318  Validation accuracy:  0.1
Testing loss:  2.302587494134424  Testing accuracy:  0.1
Epoch  4 Epoch Loss :  0.07197841814632601
Training loss:  2.302580077666065  Training accuracy:  0.1
Validation loss:  2.3025800785846857  Validation accuracy:  0.1
Testing loss:  2.302580076771036  Testing accuracy:  0.1
Epoch  5 Epoch Loss :  0.07197828157053833
Training loss:  2.3025777262132134  Training accuracy:  0.1
Validation loss:  2.302577727132  Validation accuracy:  0.1
Testing loss:  2.302577725317932  Testing accuracy:  0.1
Epoch  6 Epoch Loss :  0.07197823899410744
Training loss:  2.3025769970432264  Training accuracy:  0.1
Validation loss:  2.302576997962102  Validation accuracy:  0.1
Testing loss:  2.3025769961478044  Testing accuracy:  0.1
Epoch  7 Epoch Loss :  0.07197822622524813
Training loss:  2.3025767808946167  Training accuracy:  0.1
Validation loss:  2.3025767818135368  Validation accuracy:  0.1
Testing loss:  2.302576779999121  Testing accuracy:  0.1
Epoch  8 Epoch Loss :  0.0719782227030909
Training loss:  2.30257672288822  Training accuracy:  0.1
Validation loss:  2.302576723807162  Validation accuracy:  0.1
Testing loss:  2.302576721992689  Testing accuracy:  0.1
Epoch  9 Epoch Loss :  0.07197822192389208
Training loss:  2.302576711157393  Training accuracy:  0.1
Validation loss:  2.3025767120763403  Validation accuracy:  0.1
Testing loss:  2.3025767102618455  Testing accuracy:  0.1
