
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function sigmoid at 0x7f0d15f17ce0>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.14393879403857607
Training loss:  2.303157787975713  Training accuracy:  0.1
Validation loss:  2.3031577879879133  Validation accuracy:  0.1
Testing loss:  2.3031577879772205  Testing accuracy:  0.1
Epoch  1 Epoch Loss :  0.14393867020136453
Training loss:  2.3031578089068505  Training accuracy:  0.1
Validation loss:  2.3031578089190505  Validation accuracy:  0.1
Testing loss:  2.30315780890836  Testing accuracy:  0.1
Epoch  2 Epoch Loss :  0.14393867022655904
Training loss:  2.3031578068081475  Training accuracy:  0.1
Validation loss:  2.3031578068203484  Validation accuracy:  0.1
Testing loss:  2.3031578068096588  Testing accuracy:  0.1
Epoch  3 Epoch Loss :  0.14393867011667144
Training loss:  2.3031578047105428  Training accuracy:  0.1
Validation loss:  2.303157804722744  Validation accuracy:  0.1
Testing loss:  2.3031578047120553  Testing accuracy:  0.1
Epoch  4 Epoch Loss :  0.14393867000685692
Training loss:  2.3031578026143573  Training accuracy:  0.1
Validation loss:  2.3031578026265582  Validation accuracy:  0.1
Testing loss:  2.3031578026158717  Testing accuracy:  0.1
Epoch  5 Epoch Loss :  0.14393866989711782
Training loss:  2.303157800519594  Training accuracy:  0.1
Validation loss:  2.3031578005317948  Validation accuracy:  0.1
Testing loss:  2.3031578005211104  Testing accuracy:  0.1
Epoch  6 Epoch Loss :  0.14393866978745432
Training loss:  2.3031577984262563  Training accuracy:  0.1
Validation loss:  2.3031577984384577  Validation accuracy:  0.1
Testing loss:  2.3031577984277747  Testing accuracy:  0.1
Epoch  7 Epoch Loss :  0.14393866967786675
Training loss:  2.3031577963343492  Training accuracy:  0.1
Validation loss:  2.303157796346551  Validation accuracy:  0.1
Testing loss:  2.303157796335869  Testing accuracy:  0.1
Epoch  8 Epoch Loss :  0.14393866956835444
Training loss:  2.303157794243876  Training accuracy:  0.1
Validation loss:  2.303157794256078  Validation accuracy:  0.1
Testing loss:  2.303157794245398  Testing accuracy:  0.1
Epoch  9 Epoch Loss :  0.14393866945891914
Training loss:  2.3031577921548396  Training accuracy:  0.1
Validation loss:  2.303157792167042  Validation accuracy:  0.1
Testing loss:  2.3031577921563637  Testing accuracy:  0.1
