
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function relu at 0x7f0d15f17ba0>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.0717244895001378
Training loss:  2.2863669670032056  Training accuracy:  0.18033333333333335
Validation loss:  2.28604173103445  Validation accuracy:  0.183
Testing loss:  2.286411153965106  Testing accuracy:  0.178
Epoch  1 Epoch Loss :  0.07121163618202264
Training loss:  2.2696678617015538  Training accuracy:  0.26005555555555554
Validation loss:  2.2694143712416  Validation accuracy:  0.2653333333333333
Testing loss:  2.269950696863608  Testing accuracy:  0.2603
Epoch  2 Epoch Loss :  0.07067048264797152
Training loss:  2.2513747773342416  Training accuracy:  0.3212777777777778
Validation loss:  2.251195084538475  Validation accuracy:  0.3195
Testing loss:  2.251840771091524  Testing accuracy:  0.3151
Epoch  3 Epoch Loss :  0.07004051610622172
Training loss:  2.228920250347134  Training accuracy:  0.35714814814814816
Validation loss:  2.228827990379468  Validation accuracy:  0.35433333333333333
Testing loss:  2.2295863653181964  Testing accuracy:  0.3561
Epoch  4 Epoch Loss :  0.06924134450861666
Training loss:  2.199860015529038  Training accuracy:  0.38012962962962965
Validation loss:  2.1998133540019786  Validation accuracy:  0.37666666666666665
Testing loss:  2.200767239209868  Testing accuracy:  0.3797
Epoch  5 Epoch Loss :  0.06820098039656862
Training loss:  2.1619554047010325  Training accuracy:  0.39924074074074073
Validation loss:  2.1619211947441097  Validation accuracy:  0.39516666666666667
Testing loss:  2.1631634372024786  Testing accuracy:  0.3989
Epoch  6 Epoch Loss :  0.06684585181165474
Training loss:  2.112657560546866  Training accuracy:  0.4126851851851852
Validation loss:  2.1125614704594455  Validation accuracy:  0.4091666666666667
Testing loss:  2.1141994138774747  Testing accuracy:  0.4099
Epoch  7 Epoch Loss :  0.0650841274132838
Training loss:  2.0485479380829426  Training accuracy:  0.4119259259259259
Validation loss:  2.0483115928079823  Validation accuracy:  0.4085
Testing loss:  2.0504870444782908  Testing accuracy:  0.4113
Epoch  8 Epoch Loss :  0.06279976708380801
Training loss:  1.9659497769533665  Training accuracy:  0.41079629629629627
Validation loss:  1.9655699399639301  Validation accuracy:  0.408
Testing loss:  1.9684441820647225  Testing accuracy:  0.4113
Epoch  9 Epoch Loss :  0.05990328070895146
Training loss:  1.8632413004292359  Training accuracy:  0.4195740740740741
Validation loss:  1.8627043025272936  Validation accuracy:  0.4151666666666667
Testing loss:  1.8663592535782763  Testing accuracy:  0.4178
