
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function sigmoid at 0x7f0d15f17ce0>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.14394495908724564
Training loss:  2.302715585966072  Training accuracy:  0.1
Validation loss:  2.3027156112116804  Validation accuracy:  0.1
Testing loss:  2.3027155750469075  Testing accuracy:  0.1
Epoch  1 Epoch Loss :  0.14392374092340487
Training loss:  2.302611794371965  Training accuracy:  0.1
Validation loss:  2.30261181853749  Validation accuracy:  0.1
Testing loss:  2.3026117838921087  Testing accuracy:  0.1
Epoch  2 Epoch Loss :  0.1439206356312109
Training loss:  2.3025942584563803  Training accuracy:  0.1
Validation loss:  2.302594281615364  Validation accuracy:  0.1
Testing loss:  2.3025942484081736  Testing accuracy:  0.1
Epoch  3 Epoch Loss :  0.14391997746636062
Training loss:  2.302590263689665  Training accuracy:  0.1
Validation loss:  2.3025902858941625  Validation accuracy:  0.1
Testing loss:  2.302590254057763  Testing accuracy:  0.1
Epoch  4 Epoch Loss :  0.14391975573782156
Training loss:  2.3025891465481285  Training accuracy:  0.1
Validation loss:  2.3025891678407246  Validation accuracy:  0.1
Testing loss:  2.3025891373159224  Testing accuracy:  0.1
