
----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function sigmoid at 0x7f0d15f17ce0>
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  0 Epoch Loss :  0.1439232432659784
Training loss:  2.3026195197907313  Training accuracy:  0.1
Validation loss:  2.302619519790167  Validation accuracy:  0.1
Testing loss:  2.302619519790764  Testing accuracy:  0.1
Epoch  1 Epoch Loss :  0.14392243499891552
Training loss:  2.302629581644803  Training accuracy:  0.1
Validation loss:  2.3026295816442377  Validation accuracy:  0.1
Testing loss:  2.302629581644835  Testing accuracy:  0.1
Epoch  2 Epoch Loss :  0.14392262129070138
Training loss:  2.302630119229561  Training accuracy:  0.1
Validation loss:  2.302630119228996  Validation accuracy:  0.1
Testing loss:  2.302630119229593  Testing accuracy:  0.1
Epoch  3 Epoch Loss :  0.1439226308359626
Training loss:  2.30263014545448  Training accuracy:  0.1
Validation loss:  2.3026301454539158  Validation accuracy:  0.1
Testing loss:  2.302630145454512  Testing accuracy:  0.1
Epoch  4 Epoch Loss :  0.14392263131155297
Training loss:  2.3026301468476387  Training accuracy:  0.1
Validation loss:  2.3026301468470747  Validation accuracy:  0.1
Testing loss:  2.3026301468476706  Testing accuracy:  0.1
Epoch  5 Epoch Loss :  0.14392263134758468
Training loss:  2.3026301470404147  Training accuracy:  0.1
Validation loss:  2.3026301470398507  Validation accuracy:  0.1
Testing loss:  2.3026301470404467  Testing accuracy:  0.1
Epoch  6 Epoch Loss :  0.14392263136236408
Training loss:  2.3026301471751083  Training accuracy:  0.1
Validation loss:  2.3026301471745447  Validation accuracy:  0.1
Testing loss:  2.30263014717514  Testing accuracy:  0.1
Epoch  7 Epoch Loss :  0.14392263137610756
Training loss:  2.302630147306925  Training accuracy:  0.1
Validation loss:  2.3026301473063606  Validation accuracy:  0.1
Testing loss:  2.302630147306956  Testing accuracy:  0.1
Epoch  8 Epoch Loss :  0.14392263138979441
Training loss:  2.3026301474385296  Training accuracy:  0.1
Validation loss:  2.302630147437966  Validation accuracy:  0.1
Testing loss:  2.30263014743856  Testing accuracy:  0.1
Epoch  9 Epoch Loss :  0.14392263140347067
Training loss:  2.302630147570052  Training accuracy:  0.1
Validation loss:  2.30263014756949  Validation accuracy:  0.1
Testing loss:  2.3026301475700843  Testing accuracy:  0.1
