----------->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> cross_entropy <function sigmoid at 0x7f0d15f17ce0>
Epoch  0 Epoch Loss :  0.03599482075636395
Training loss:  2.3027279321046077  Training accuracy:  0.1
Validation loss:  2.3027279320363445  Validation accuracy:  0.1
Testing loss:  2.3027279321265084  Testing accuracy:  0.1
[34m[1mwandb[39m[22m: [33mWARNING[39m Ignored wandb.init() arg project when running a sweep.
Epoch  1 Epoch Loss :  0.03599049545911823
Training loss:  2.302611985162318  Training accuracy:  0.1
Validation loss:  2.302611985093827  Validation accuracy:  0.1
Testing loss:  2.302611985185796  Testing accuracy:  0.1
Epoch  2 Epoch Loss :  0.03598957391415254
Training loss:  2.3025871744368365  Training accuracy:  0.1
Validation loss:  2.3025871743682518  Validation accuracy:  0.1
Testing loss:  2.3025871744610447  Testing accuracy:  0.1
Epoch  3 Epoch Loss :  0.03598937765711524
Training loss:  2.3025818953107837  Training accuracy:  0.1
Validation loss:  2.3025818952421604  Validation accuracy:  0.1
Testing loss:  2.302581895335334  Testing accuracy:  0.1
Epoch  4 Epoch Loss :  0.03598933648770029
Training loss:  2.3025807951317843  Training accuracy:  0.1
Validation loss:  2.302580795063145  Validation accuracy:  0.1
Testing loss:  2.3025807951564925  Testing accuracy:  0.1
