/home/sadbhawna/Desktop/cs6910_assignment1/activation.py:29: RuntimeWarning: overflow encountered in exp
  return 1/(1 + np.exp(-x))
/home/sadbhawna/Desktop/cs6910_assignment1/optimizers.py:44: RuntimeWarning: overflow encountered in square
  l2_reg_loss += np.sum(np.square(nn.parameters['W' + str(l)]))
/home/sadbhawna/Desktop/cs6910_assignment1/optimizers.py:45: RuntimeWarning: invalid value encountered in scalar multiply
  l2_reg_loss = (weight_decay / (2 * m)) * l2_reg_loss
/home/sadbhawna/Desktop/cs6910_assignment1/activation.py:32: RuntimeWarning: overflow encountered in multiply
  return x * (1 - x)
/home/sadbhawna/anaconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:86: RuntimeWarning: invalid value encountered in reduce
  return ufunc.reduce(obj, axis, dtype, out, **passkwargs)
Epoch  0 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  1 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  2 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  3 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  4 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  5 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  6 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  7 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  8 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  9 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  10 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  11 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  12 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  13 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  14 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  15 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  16 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  17 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  18 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
Epoch  19 Epoch Loss :  nan
Training loss:  nan  Training accuracy:  0.1
Validation loss:  nan  Validation accuracy:  0.1
Testing loss:  nan  Testing accuracy:  0.1
