2024-03-04 02:37:45,390 INFO    Thread-221 (_run_job):18908 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-03-04 02:37:45,391 INFO    Thread-221 (_run_job):18908 [wandb_setup.py:_flush():76] Configure stats pid to 18908
2024-03-04 02:37:45,391 INFO    Thread-221 (_run_job):18908 [wandb_setup.py:_flush():76] Loading settings from /home/sadbhawna/.config/wandb/settings
2024-03-04 02:37:45,391 INFO    Thread-221 (_run_job):18908 [wandb_setup.py:_flush():76] Loading settings from /home/sadbhawna/Desktop/cs6910_assignment1/wandb/settings
2024-03-04 02:37:45,391 INFO    Thread-221 (_run_job):18908 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'cs23d014_assignment_1', 'entity': 'cs23d014', 'root_dir': '/home/sadbhawna/Desktop/cs6910_assignment1', 'run_id': 'h95cylnh', 'sweep_param_path': '/home/sadbhawna/Desktop/cs6910_assignment1/wandb/sweep-07yjg20z/config-h95cylnh.yaml', 'sweep_id': '07yjg20z'}
2024-03-04 02:37:45,391 INFO    Thread-221 (_run_job):18908 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-04 02:37:45,391 INFO    Thread-221 (_run_job):18908 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'sweep_functionality.py', 'program_abspath': '/home/sadbhawna/Desktop/cs6910_assignment1/sweep_functionality.py', 'program': '/home/sadbhawna/Desktop/cs6910_assignment1/sweep_functionality.py'}
2024-03-04 02:37:45,391 INFO    Thread-221 (_run_job):18908 [wandb_init.py:_log_setup():526] Logging user logs to /home/sadbhawna/Desktop/cs6910_assignment1/wandb/run-20240304_023745-h95cylnh/logs/debug.log
2024-03-04 02:37:45,391 INFO    Thread-221 (_run_job):18908 [wandb_init.py:_log_setup():527] Logging internal logs to /home/sadbhawna/Desktop/cs6910_assignment1/wandb/run-20240304_023745-h95cylnh/logs/debug-internal.log
2024-03-04 02:37:45,391 INFO    Thread-221 (_run_job):18908 [wandb_init.py:init():566] calling init triggers
2024-03-04 02:37:45,391 INFO    Thread-221 (_run_job):18908 [wandb_init.py:init():573] wandb.init called with sweep_config: {'activation': 'tanh', 'batch_size': 256, 'dataset': 'mnist', 'epochs': 25, 'eps': 1e-06, 'hidden_size': 16, 'learning_rate': 0.01, 'loss': 'cross_entropy', 'num_layers': 3, 'optimizer': 'sgd', 'wandb_project': 'cs23d014_assignment_1', 'weight_decay': 0.006, 'weight_ini': 'He Normal'}
config: {}
2024-03-04 02:37:45,391 INFO    Thread-221 (_run_job):18908 [wandb_init.py:init():616] starting backend
2024-03-04 02:37:45,392 INFO    Thread-221 (_run_job):18908 [wandb_init.py:init():620] setting up manager
2024-03-04 02:37:45,401 INFO    Thread-221 (_run_job):18908 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-04 02:37:45,401 INFO    Thread-221 (_run_job):18908 [wandb_init.py:init():628] backend started and connected
2024-03-04 02:37:45,408 INFO    Thread-221 (_run_job):18908 [wandb_run.py:_config_callback():1343] config_cb None None {'activation': 'tanh', 'batch_size': 256, 'dataset': 'mnist', 'epochs': 25, 'eps': 1e-06, 'hidden_size': 16, 'learning_rate': 0.01, 'loss': 'cross_entropy', 'num_layers': 3, 'optimizer': 'sgd', 'wandb_project': 'cs23d014_assignment_1', 'weight_decay': 0.006, 'weight_ini': 'He Normal'}
2024-03-04 02:37:45,409 INFO    Thread-221 (_run_job):18908 [wandb_init.py:init():720] updated telemetry
2024-03-04 02:37:45,414 INFO    Thread-221 (_run_job):18908 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-04 02:37:46,048 INFO    Thread-221 (_run_job):18908 [wandb_run.py:_on_init():2262] communicating current version
2024-03-04 02:37:46,139 INFO    Thread-221 (_run_job):18908 [wandb_run.py:_on_init():2271] got version response 
